[RELA_INVERSE]
3_UTR_of|Has_3_UTR
Role_Has_Domain|Kind_Is_Domain_Of
Role_Has_Parent|Role_Is_Parent_Of
Role_Has_Range|Kind_Is_Range_Of
Role_Is_Parent_Of|Role_Has_Parent
Segment_of|Has_Segment
Source_Band|INV_Source_Band
Source_Exon|INV_Source_Exon
Source_Gene|INV_Source_Gene
Source_Intron|INV_Source_Intron
Special_Category_Includes_Neoplasm|Neoplasm_Has_Special_Category
Subset_Includes_Concept|Concept_In_Subset
Subset_of|Has_Subset
Subsumed_By|Subsumes
Subsumes|Subsumed_By
Target_Anatomy_Has_Procedure|Procedure_Has_Target_Anatomy
Target_Band|INV_Target_Band
Target_Exon|INV_Target_Exon
Target_Gene|INV_Target_Gene
Target_Intron|INV_Target_Intron
Telomere_of|Has_Telomere
Tissue_Is_Expression_Site_Of_Gene_Product|Gene_Product_Expressed_In_Tissue
Transcript_of|Has_Transcript
Value_Set_Is_Paired_With|Is_Paired_With_Value_Set
absorbability_of|has_absorbability
access_device_used_by|uses_access_device
access_instrument_of|has_access_instrument
access_of|has_access
acted_on_by_process|process_acts_on
action_of|has_action
active_ingredient_of|has_active_ingredient
active_metabolites_of|has_active_metabolites
active_metabolites_of_MEDRT|has_active_metabolites_MEDRT
active_moiety_of|has_active_moiety
adheres_to|has_adherent
adjacent_to|adjacent_to
afferent_to|efferent_to
after|before
agent_in|has_agent
alias_of|has_alias
allelic_variant_of|has_allelic_variant
alternative_of|has_alternative
analyzed_by|analyzes
analyzes|analyzed_by
anatomical_entity_observed_in|has_observed_anatomical_entity
anatomical_site|is_anatomical_site_of
answer_to|has_answer
answer_to_is_sterile|is_sterile
anterior_to|posterior_to
anteroinferior_to|posterosuperior_to
anterolateral_to|posteromedial_to
anteromedial_to|posterolateral_to
anterosuperior_to|posteroinferior_to
application_of|has_application
approach_of|has_approach
archetype_of|has_archetype
arterial_supply_of|has_arterial_supply
articulates_with|articulates_with
associated_condition_of|has_associated_condition
associated_disease|associated_genetic_condition
associated_etiologic_finding_of|has_associated_etiologic_finding
associated_finding_of|has_associated_finding
associated_function_of|has_associated_function
associated_genetic_condition|associated_disease
associated_morphology_of|has_associated_morphology
associated_procedure_of|has_associated_procedure
associated_with|associated_with
attaches_to|receives_attachment_from
away_from|towards
basic_dose_form_of|has_basic_dose_form
basis_of_strength_substance_of|has_basis_of_strength_substance
bearer_of|is_borne_by
before|after
blood_supply_of|has_blood_supply
boss_of|has_boss
bounded_by|bounds
bounds|bounded_by
branch_of|has_branch
branch_part_of|has_branch_part
causative_agent_of|has_causative_agent
cause_of|due_to
characterized_by|characterizes
characterizes|characterized_by
chemical_structure_of|has_chemical_structure
chemical_structure_of_FDASPL|has_chemical_structure_FDASPL
chemical_structure_of_FMTSME|has_chemical_structure_FMTSME
chemical_structure_of_MEDRT|has_chemical_structure_MEDRT
child_of_FDASPL|parent_of_FDASPL
child_of_MEDRT|parent_of_MEDRT
class_code_classified_by|classifies_class_code
classified_as|classifies
classifies|classified_as
classifies_class_code|class_code_classified_by
clinical_course_of|has_clinical_course
coating_material_of|has_coating_material
common_name_of|has_common_name
component_of|has_component
compositional_material_of|has_compositional_material
concentration_strength_denominator_unit_of|has_concentration_strength_denominator_unit
concentration_strength_denominator_value_of|has_concentration_strength_denominator_value
concentration_strength_numerator_unit_of|has_concentration_strength_numerator_unit
concentration_strength_numerator_value_of|has_concentration_strength_numerator_value
conceptual_part_of|has_conceptual_part
conjugate_component_of|has_conjugated_component_part
connected_to|connected_to
connection_type_of|has_connection_type
consider|consider_from
consider_from|consider
consists_of|constitutes
constitutes|consists_of
constitutional_part_of|has_constitutional_part
contained_in|contains
contains|contained_in
context_binding_of|has_context_binding
continuation_branch_of|has_continuation_branch
continuous_distally_with|continuous_proximally_with
continuous_proximally_with|continuous_distally_with
continuous_with|continuous_with
contraindicated_class_of|has_contraindicated_class
contraindicated_class_of_MEDRT|has_contraindicated_class_MEDRT
contraindicated_mechanism_of_action_of|has_contraindicated_mechanism_of_action
contraindicated_mechanism_of_action_of_MEDRT|has_contraindicated_mechanism_of_action_MEDRT
contraindicated_physiologic_effect_of|has_contraindicated_physiologic_effect
contraindicated_physiologic_effect_of_MEDRT|has_contraindicated_physiologic_effect_MEDRT
contraindicated_with_disease|has_contraindicated_drug
contraindicated_with_disease_MEDRT|has_contraindicated_drug_MEDRT
contraindicating_class_of|has_contraindicating_class
contraindicating_mechanism_of_action_of|has_contraindicating_mechanism_of_action
contraindicating_physiologic_effect_of|has_contraindicating_physiologic_effect
corresponds_to|corresponds_to
count_of_active_ingredient_of|has_count_of_active_ingredient
count_of_base_of_active_ingredient_of|has_count_of_base_of_active_ingredient
course_of|has_course
default_inpatient_classification_of|has_default_inpatient_classification
default_outpatient_classification_of|has_default_outpatient_classification
definitional_manifestation_of|has_definitional_manifestation
degree_of|has_degree
denoted_by|denotes
denotes|denoted_by
dependent_of|has_dependent
derives|derives_from
derives_from|derives
determines_parameter_for|parameter_determined_from
determines_property|property_determined_from
development_type_of|has_development_type
developmental_stage_of|has_developmental_stage
develops_from|develops_into
develops_into|develops_from
device_characteristic_of|has_device_characteristic
device_intended_site_of|has_device_intended_site
device_used_by|uses_device
diagnosed_by|diagnoses
diagnoses|diagnosed_by
direct_anterior_to|direct_posterior_to
direct_anteroinferior_to|direct_posterosuperior_to
direct_anterolateral_to|direct_posteromedial_to
direct_anteromedial_to|direct_posterolateral_to
direct_anterosuperior_to|direct_posteroinferior_to
direct_cell_shape_of|has_direct_cell_shape
direct_constitution_part_of|has_direct_constitution_part
direct_continuous_with|direct_continuous_with
direct_device_of|has_direct_device
direct_distal_to|direct_proximal_to
direct_inferior_to|direct_superior_to
direct_inferolateral_to|direct_superomedial_to
direct_inferomedial_to|direct_superolateral_to
direct_lateral_to|direct_medial_to
direct_left_of|direct_right_of
direct_medial_to|direct_lateral_to
direct_morphology_of|has_direct_morphology
direct_part_of|has_direct_part
direct_posterior_to|direct_anterior_to
direct_posteroinferior_to|direct_anterosuperior_to
direct_posterolateral_to|direct_anteromedial_to
direct_posteromedial_to|direct_anterolateral_to
direct_posterosuperior_to|direct_anteroinferior_to
direct_procedure_site_of|has_direct_procedure_site
direct_proximal_to|direct_distal_to
direct_regional_part_of|has_direct_regional_part
direct_right_of|direct_left_of
direct_site_of|has_direct_site
direct_substance_of|has_direct_substance
direct_superior_to|direct_inferior_to
direct_superolateral_to|direct_inferomedial_to
direct_superomedial_to|direct_inferolateral_to
disposition_of|has_disposition
distal_to|proximal_to
dose_form_administration_method_of|has_dose_form_administration_method
dose_form_intended_site_of|has_dose_form_intended_site
dose_form_of|has_dose_form
dose_form_release_characteristic_of|has_dose_form_release_characteristic
dose_form_transformation_of|has_dose_form_transformation
doseformgroup_of|has_doseformgroup
drains_into|receives_drainage_from
due_to|cause_of
during|inverse_during
effect_may_be_inhibited_by|may_inhibit_effect_of
effect_may_be_inhibited_by_MEDRT|may_inhibit_effect_of_MEDRT
efferent_to|afferent_to
encapsulated_component_of|has_encapsulated_component_part
ends_during|inverse_ends_during
energy_used_by|uses_energy
entire_anatomy_structure_of|has_entire_anatomy_structure
entrapment_site_of|has_entrapment_site
entrapped_component_of|has_entrapped_component_part
entry_term_of|has_entry_term
entry_version_of|has_entry_version
episodicity_of|has_episodicity
evaluation_of|has_evaluation
exhibited_by|exhibits
exhibits|exhibited_by
expanded_form_of|has_expanded_form
extended_to_by_process|process_extends_to
extent_of|has_extent
external_to|internal_to
filling_of|has_filling
finding_context_of|has_finding_context
finding_informer_of|has_finding_informer
finding_method_of|has_finding_method
finding_site_of|has_finding_site
focus_of|has_focus
form_of|has_form
formed_by|forms
forms|formed_by
full_grown_phenotype_of|has_full_grown_phenotype
function_of|has_function
fuses_with|fuses_with
fusion_of|has_fusion
germ_origin_of|has_germ_origin
gives_rise_to|develops_from
happens_during|inverse_happens_during
has_Abstract|Abstract_of
has_Author|Author_of
has_DOI|DOI_of
has_Journal_Name|Journal_Name_of
has_MAGE_description|inverse_has_MAGE_description
has_PubMedID|PubMedID_of
has_Publication_Year|Publication_Year_of
has_URI|inverse_has_URI
has_absorbability|absorbability_of
has_access|access_of
has_access_instrument|access_instrument_of
has_action|action_of
has_active_ingredient|active_ingredient_of
has_active_metabolites|active_metabolites_of
has_active_metabolites_MEDRT|active_metabolites_of_MEDRT
has_active_moiety|active_moiety_of
has_additive|inverse_has_additive
has_adherent|adheres_to
has_affiliation|inverse_has_affiliation
has_agent|agent_in
has_alias|alias_of
has_allelic_variant|allelic_variant_of
has_alternative|alternative_of
has_answer|answer_to
has_application|application_of
has_approach|approach_of
has_archetype|archetype_of
has_arterial_supply|arterial_supply_of
has_associated_condition|associated_condition_of
has_associated_etiologic_finding|associated_etiologic_finding_of
has_associated_finding|associated_finding_of
has_associated_function|associated_function_of
has_associated_morphology|associated_morphology_of
has_associated_procedure|associated_procedure_of
has_atmospheric_component|inverse_has_atmospheric_component
has_basic_dose_form|basic_dose_form_of
has_basis_of_strength_substance|basis_of_strength_substance_of
has_been_treated|inverse_has_been_treated
has_bioassay_data|inverse_has_bioassay_data
has_bioassays|inverse_has_bioassays
has_biomaterial_characteristics|inverse_has_biomaterial_characteristics
has_blood_supply|blood_supply_of
has_boss|boss_of
has_branch|branch_of
has_branch_part|branch_part_of
has_cancer_site|inverse_has_cancer_site
has_category|inverse_has_category
has_causative_agent|causative_agent_of
has_chemical_structure|chemical_structure_of
has_chemical_structure_FDASPL|chemical_structure_of_FDASPL
has_chemical_structure_FMTSME|chemical_structure_of_FMTSME
has_chemical_structure_MEDRT|chemical_structure_of_MEDRT
has_chromosomal_aberration_classification|inverse_has_chromosomal_aberration_classification
has_citation|inverse_has_citation
has_clinical_course|clinical_course_of
has_clinical_finding|inverse_has_clinical_finding
has_clinical_record|inverse_has_clinical_record
has_clinical_treatment|inverse_has_clinical_treatment
has_coating_material|coating_material_of
has_common_name|common_name_of
has_communication_with_wound|wound_has_communication_with
has_component|component_of
has_component_part|part_component_of
has_compositional_material|compositional_material_of
has_compound|inverse_has_compound
has_concentration_strength_denominator_unit|concentration_strength_denominator_unit_of
has_concentration_strength_denominator_value|concentration_strength_denominator_value_of
has_concentration_strength_numerator_unit|concentration_strength_numerator_unit_of
has_concentration_strength_numerator_value|concentration_strength_numerator_value_of
has_conceptual_part|conceptual_part_of
has_conjugated_component_part|conjugate_component_of
has_connection_type|connection_type_of
has_constitutional_part|constitutional_part_of
has_context_binding|context_binding_of
has_continuation_branch|continuation_branch_of
has_contraindicated_class|contraindicated_class_of
has_contraindicated_class_MEDRT|contraindicated_class_of_MEDRT
has_contraindicated_drug|contraindicated_with_disease
has_contraindicated_drug_MEDRT|contraindicated_with_disease_MEDRT
has_contraindicated_mechanism_of_action|contraindicated_mechanism_of_action_of
has_contraindicated_mechanism_of_action_MEDRT|contraindicated_mechanism_of_action_of_MEDRT
has_contraindicated_physiologic_effect|contraindicated_physiologic_effect_of
has_contraindicated_physiologic_effect_MEDRT|contraindicated_physiologic_effect_of_MEDRT
has_contraindicating_class|contraindicating_class_of
has_contraindicating_mechanism_of_action|contraindicating_mechanism_of_action_of
has_contraindicating_physiologic_effect|contraindicating_physiologic_effect_of
has_count_of_active_ingredient|count_of_active_ingredient_of
has_count_of_base_of_active_ingredient|count_of_base_of_active_ingredient_of
has_course|course_of
has_cubic_volume|inverse_has_cubic_volume
has_database|inverse_has_database
has_database_entry_type|inverse_has_database_entry_type
has_datum_value|is_datum_of
has_default_inpatient_classification|default_inpatient_classification_of
has_default_outpatient_classification|default_outpatient_classification_of
has_definitional_manifestation|definitional_manifestation_of
has_degree|degree_of
has_dependent|dependent_of
has_development_type|development_type_of
has_developmental_stage|developmental_stage_of
has_device_characteristic|device_characteristic_of
has_device_intended_site|device_intended_site_of
has_diameter|inverse_has_diameter
has_direct_cell_shape|direct_cell_shape_of
has_direct_constitution_part|direct_constitution_part_of
has_direct_device|direct_device_of
has_direct_morphology|direct_morphology_of
has_direct_part|direct_part_of
has_direct_procedure_site|direct_procedure_site_of
has_direct_regional_part|direct_regional_part_of
has_direct_site|direct_site_of
has_direct_substance|direct_substance_of
has_disease_location|inverse_has_disease_location
has_disease_staging|inverse_has_disease_staging
has_disease_state|inverse_has_disease_state
has_disposition|disposition_of
has_donor|inverse_has_donor
has_dose_form|dose_form_of
has_dose_form_administration_method|dose_form_administration_method_of
has_dose_form_intended_site|dose_form_intended_site_of
has_dose_form_release_characteristic|dose_form_release_characteristic_of
has_dose_form_transformation|dose_form_transformation_of
has_doseformgroup|doseformgroup_of
has_encapsulated_component_part|encapsulated_component_of
has_endpoint_of_measurement|is_measurement_endpoint_of
has_entire_anatomy_structure|entire_anatomy_structure_of
has_entrapment_site|entrapment_site_of
has_entrapped_component_part|entrapped_component_of
has_entry_term|entry_term_of
has_entry_version|entry_version_of
has_episodicity|episodicity_of
has_evaluation|evaluation_of
has_expanded_form|expanded_form_of
has_experiment_design|inverse_has_experiment_design
has_experiment_design_type|inverse_has_experiment_design_type
has_experiment_factors|inverse_has_experiment_factors
has_extent|extent_of
has_factor_value|inverse_has_factor_value
has_factor_value_ontology_entry|inverse_has_factor_value_ontology_entry
has_family_member|inverse_has_family_member
has_family_relationship|inverse_has_family_relationship
has_feature_shape|inverse_has_feature_shape
has_fiducials|inverse_has_fiducials
has_filling|filling_of
has_finding_context|finding_context_of
has_finding_informer|finding_informer_of
has_finding_method|finding_method_of
has_finding_site|finding_site_of
has_focus|focus_of
has_form|form_of
has_full_grown_phenotype|full_grown_phenotype_of
has_function|function_of
has_fusion|fusion_of
has_germ_origin|germ_origin_of
has_hardware|inverse_has_hardware
has_height|inverse_has_height
has_host|inverse_has_host
has_host_part|inverse_has_host_part
has_identification_type|identification_type_of
has_image_format|inverse_has_image_format
has_inactive_ingredient|inactive_ingredient_of
has_indicator|indicator_of
has_indirect_device|indirect_device_of
has_indirect_morphology|indirect_morphology_of
has_indirect_procedure_site|indirect_procedure_site_of
has_individual|inverse_has_individual
has_individual_genetic_characteristics|inverse_has_individual_genetic_characteristics
has_ingredient|ingredient_of
has_ingredient_characteristic|ingredient_characteristic_of
has_ingredient_qualitative_strength|ingredient_qualitative_strength_of
has_ingredients|ingredients_of
has_inherent_3d_shape|inherent_3d_shape_of
has_inherent_attribute|inheres_in
has_inherent_location|inherent_location_of
has_inheritance_type|inheritance_type_of
has_initial_time_point|inverse_has_initial_time_point
has_innervation_source|innervates
has_input_participant|has_output_participant
has_insertion|insertion_of
has_instrumentation|instrumentation_of
has_integral_part|is_integral_part_of
has_intent|intent_of
has_interpretation|interpretation_of
has_laterality|laterality_of
has_length|inverse_has_length
has_location|location_of
has_loinc_number|loinc_number_of
has_lymphatic_drainage|lymphatic_drainage_of
has_manifestation|manifestation_of
has_manufactured_dose_form|manufactured_dose_form_of
has_manufacturer|inverse_has_manufacturer
has_mapping_qualifier|mapping_qualifier_of
has_mass|inverse_has_mass
has_maximum_measurement|inverse_has_maximum_measurement
has_measure|measure_of
has_measured_component|measured_component_of
has_measurement|measurement_of
has_measurement_method|measurement_method_of
has_measurement_type|inverse_has_measurement_type
has_mechanism_of_action|mechanism_of_action_of
has_mechanism_of_action_FDASPL|mechanism_of_action_of_FDASPL
has_mechanism_of_action_FMASME|mechanism_of_action_of_FMASME
has_mechanism_of_action_FMTSME|mechanism_of_action_of_FMTSME
has_mechanism_of_action_MEDRT|mechanism_of_action_of_MEDRT
has_member|member_of
has_method|method_of
has_modification|is_modification_of
has_multi_level_category|has_single_level_category
has_muscle_insertion|muscle_insertion_of
has_muscle_origin|muscle_origin_of
has_nerve_supply|nerve_supply_of
has_node_value|inverse_has_node_value
has_node_value_type|inverse_has_node_value_type
has_nodes|inverse_has_nodes
has_nutrient_component|inverse_has_nutrient_component
has_observed_anatomical_entity|anatomical_entity_observed_in
has_occurrence|occurs_in
has_onset|onset_of
has_organism_part|inverse_has_organism_part
has_origin|origin_of
has_output_participant|has_input_participant
has_owner|inverse_has_owner
has_owning_affiliate|owning_affiliate_of
has_owning_section|owning_section_of
has_owning_subsection|owning_subsection_of
has_parent|parent_of
has_parent_group|parent_group_of
has_parent_organization|inverse_has_parent_organization
has_part|part_of
has_part_anatomy_structure|part_anatomy_structure_of
has_part_modified|inverse_has_part_modified
has_participant|participates_in
has_pathological_process|pathological_process_of
has_performer|inverse_has_performer
has_permuted_term|permuted_term_of
has_pharmacokinetics|pharmacokinetics_of
has_pharmacokinetics_MEDRT|pharmacokinetics_of_MEDRT
has_phenotype|phenotype_of
has_physiologic_effect|physiologic_effect_of
has_physiologic_effect_FDASPL|physiologic_effect_of_FDASPL
has_physiologic_effect_FMTSME|physiologic_effect_of_FMTSME
has_physiologic_effect_MEDRT|physiologic_effect_of_MEDRT
has_precise_active_ingredient|precise_active_ingredient_of
has_precise_ingredient|precise_ingredient_of
has_precondition|precondition_of
has_presentation_strength_denominator_unit|presentation_strength_denominator_unit_of
has_presentation_strength_denominator_value|presentation_strength_denominator_value_of
has_presentation_strength_numerator_unit|presentation_strength_numerator_unit_of
has_presentation_strength_numerator_value|presentation_strength_numerator_value_of
has_prev_name|prev_name_of
has_prev_symbol|prev_symbol_of
has_primary_segmental_supply|primary_segmental_supply_of
has_print_name|print_name_of
has_prior_disease_state|inverse_has_prior_disease_state
has_priority|priority_of
has_procedure_approach|procedure_approach_of
has_procedure_context|procedure_context_of
has_procedure_device|procedure_device_of
has_procedure_morphology|procedure_morphology_of
has_procedure_site|procedure_site_of
has_process_duration|process_duration_of
has_process_output|process_output_of
has_product_characteristic|product_characteristic_of
has_product_component|product_component_of
has_product_monograph_title|product_monograph_title_of
has_projection|receives_projection
has_property|property_of
has_property_set|inverse_has_property_set
has_property_type|property_type_of
has_protocol|inverse_has_protocol
has_providers|inverse_has_providers
has_quality|quality_of
has_quantified_form|quantified_form_of
has_realization|realization_of
has_reason_for_deprecation|inverse_has_reason_for_deprecation
has_recipient_category|recipient_category_of
has_regional_part|regional_part_of
has_related_developmental_entity|related_developmental_entity_of
has_result|result_of
has_revision_status|revision_status_of
has_role|role_of
has_route_of_administration|route_of_administration_of
has_scale|scale_of
has_scale_type|scale_type_of
has_secondary_segmental_supply|secondary_segmental_supply_of
has_segment|segment_of
has_segmental_composition|segmental_composition_of
has_segmental_supply|segmental_supply_of
has_severity|severity_of
has_single_level_category|has_multi_level_category
